P2ACE,P1NETPOINTWON,P1BREAKPOINTWON,P1ACE,P1FIRSTSRVWON,P1FIRSTSRVIN,P2UNFERR,P1DOUBLEFAULT,P2NETPOINT,P1FORCEDERROR,P2BREAKPOINTMISSED,P2NETPOINTWON,P2DOUBLEFAULT,P2SECONDSRVIN,P2FIRSTSRVIN,P2SECONDSRVWON,P2WINNER,P2BREAKPOINTWON,P1SECONDSRVIN,P1WINNER,P2BREAKPOINT,P2FORCEDERROR,P1NETPOINT,P1BREAKPOINTMISSED,P1UNFERR,P2FIRSTSRVWON,P1BREAKPOINT,P1SECONDSRVWON,SURF_CODE,WINNER
0,13,4,7,0,0,13,4,2,0,1,2,2,0,0,0,4,1,0,31,1,0,15,8,26,0,8,0,0,Player1
9,5,3,9,0,0,23,6,6,0,11,6,5,0,0,0,33,4,0,36,11,0,8,6,35,0,6,0,0,Player2
4,4,2,0,0,0,20,8,4,0,8,3,0,0,0,0,25,6,0,7,8,0,4,5,26,0,5,0,0,Player2
0,18,5,3,0,0,23,2,7,0,4,3,2,0,0,0,9,1,0,34,4,0,28,9,29,0,9,0,0,Player1
0,9,7,3,0,0,64,6,24,0,13,15,4,0,0,0,32,7,0,27,13,0,13,7,44,0,7,0,0,Player1
4,2,5,3,0,0,47,8,10,0,14,9,16,0,0,0,31,7,0,16,14,0,5,10,35,0,10,0,0,Player2
3,0,5,6,0,0,25,0,7,0,1,5,9,0,0,0,8,0,0,11,1,0,0,9,5,0,9,0,0,Player1
6,1,1,1,0,0,18,7,5,0,9,4,2,0,0,0,20,5,0,10,9,0,1,5,29,0,5,0,0,Player2
4,8,3,3,0,0,26,6,10,0,9,7,6,0,0,0,14,6,0,19,9,0,15,10,40,0,10,0,0,Player2
6,6,1,0,0,0,12,2,8,0,5,5,0,0,0,0,17,5,0,15,5,0,7,4,28,0,4,0,0,Player2
6,5,4,2,0,0,35,10,22,0,5,18,5,0,0,0,27,5,0,19,5,0,10,7,30,0,7,0,0,Player2
2,11,5,2,0,0,29,1,13,0,14,5,1,0,0,0,19,3,0,29,14,0,13,9,41,0,9,0,0,Player1
2,5,4,4,0,0,24,6,5,0,14,3,3,0,0,0,19,6,0,27,14,0,13,10,48,0,10,0,0,Player2
0,9,6,4,0,0,15,1,2,0,3,1,4,0,0,0,4,2,0,30,3,0,12,8,18,0,8,0,0,Player1
7,3,5,6,0,0,57,3,12,0,13,8,11,0,0,0,35,5,0,26,13,0,4,8,30,0,8,0,0,Player2
1,2,1,2,0,0,23,4,10,0,12,6,1,0,0,0,16,5,0,11,12,0,5,1,33,0,1,0,0,Player2
0,4,7,0,0,0,28,1,4,0,2,3,0,0,0,0,8,1,0,14,2,0,5,8,13,0,8,0,0,Player1
1,10,5,3,0,0,28,0,5,0,8,4,3,0,0,0,17,3,0,28,8,0,14,13,31,0,13,0,0,Player1
1,11,2,2,0,0,20,1,3,0,10,2,2,0,0,0,14,7,0,12,10,0,21,4,31,0,4,0,0,Player2
5,9,3,5,0,0,28,6,9,0,6,9,9,0,0,0,23,1,0,21,6,0,13,7,34,0,7,0,0,Player1
6,10,6,8,0,0,34,9,12,0,16,6,12,0,0,0,29,8,0,35,16,0,16,15,39,0,15,0,0,Player2
0,7,3,1,0,0,29,4,3,0,4,3,6,0,0,0,7,1,0,19,4,0,8,11,31,0,11,0,0,Player1
1,2,3,1,0,0,26,7,2,0,11,2,2,0,0,0,15,7,0,8,11,0,9,6,40,0,6,0,0,Player2
4,3,4,3,0,0,34,2,17,0,5,14,5,0,0,0,15,1,0,20,5,0,4,5,17,0,5,0,0,Player1
2,21,6,3,0,0,61,5,29,0,16,20,7,0,0,0,36,5,0,31,16,0,33,12,57,0,12,0,0,Player1
3,9,5,4,0,0,26,4,4,0,9,2,2,0,0,0,12,2,0,28,9,0,11,8,27,0,8,0,0,Player1
0,16,6,5,0,0,35,5,6,0,11,2,4,0,0,0,8,6,0,39,11,0,24,17,55,0,17,0,0,Player1
6,7,3,7,0,0,33,2,8,0,8,4,2,0,0,0,30,3,0,39,8,0,9,14,33,0,14,0,0,Player2
2,5,4,2,0,0,18,2,4,0,2,3,1,0,0,0,8,0,0,23,2,0,8,6,17,0,6,0,0,Player1
1,8,2,4,0,0,22,4,16,0,9,13,3,0,0,0,26,4,0,18,9,0,13,2,30,0,2,0,0,Player2
1,11,8,0,0,0,41,4,7,0,15,5,5,0,0,0,17,7,0,21,15,0,16,15,41,0,15,0,0,Player1
6,5,1,4,0,0,26,5,3,0,8,1,5,0,0,0,26,4,0,11,8,0,6,6,23,0,6,0,0,Player2
2,6,6,5,0,0,24,2,9,0,5,6,2,0,0,0,11,2,0,32,5,0,7,12,24,0,12,0,0,Player1
8,6,6,0,0,0,43,7,6,0,13,4,3,0,0,0,25,6,0,31,13,0,11,11,53,0,11,0,0,Player2
2,7,8,5,0,0,33,4,4,0,11,2,7,0,0,0,24,5,0,24,11,0,11,12,18,0,12,0,0,Player1
1,4,6,0,0,0,21,2,5,0,5,1,1,0,0,0,8,1,0,28,5,0,6,10,20,0,10,0,0,Player1
3,7,5,3,0,0,37,9,7,0,18,5,6,0,0,0,18,8,0,29,18,0,11,7,63,0,7,0,0,Player2
1,3,6,2,0,0,38,3,7,0,3,6,4,0,0,0,10,2,0,11,3,0,3,10,20,0,10,0,0,Player1
2,20,5,1,0,0,20,3,16,0,4,15,4,0,0,0,18,2,0,31,4,0,24,13,28,0,13,0,0,Player1
4,12,3,10,0,0,17,7,8,0,5,5,4,0,0,0,17,0,0,30,5,0,13,7,21,0,7,0,0,Player1
0,10,5,5,0,0,30,3,2,0,7,1,6,0,0,0,12,2,0,35,7,0,12,10,40,0,10,0,0,Player1
11,6,0,6,0,0,16,1,9,0,4,4,1,0,0,0,29,2,0,20,4,0,9,0,15,0,0,0,0,Player2
4,7,1,3,0,0,11,3,6,0,9,5,0,0,0,0,14,5,0,14,9,0,14,1,39,0,1,0,0,Player2
4,5,3,8,0,0,17,5,1,0,1,1,2,0,0,0,9,0,0,23,1,0,5,4,20,0,4,0,0,Player1
4,3,2,0,0,0,20,4,12,0,8,8,0,0,0,0,18,5,0,11,8,0,5,3,27,0,3,0,0,Player2
3,2,3,4,0,0,38,2,5,0,1,2,1,0,0,0,15,1,0,16,1,0,4,6,27,0,6,0,0,Player1
3,3,0,0,0,0,8,2,4,0,8,4,1,0,0,0,18,5,0,4,8,0,8,1,22,0,1,0,0,Player2
9,2,3,3,0,0,48,7,6,0,13,1,7,0,0,0,41,5,0,21,13,0,3,10,43,0,10,0,0,Player2
10,1,7,14,0,0,41,4,13,0,8,7,8,0,0,0,40,6,0,37,8,0,3,13,16,0,13,0,0,Player1
1,7,1,3,0,0,23,0,6,0,12,5,3,0,0,0,21,4,0,15,12,0,17,1,29,0,1,0,0,Player2
2,8,6,0,0,0,48,2,17,0,8,9,2,0,0,0,34,5,0,22,8,0,10,7,22,0,7,0,0,Player1
10,7,3,1,0,0,45,9,17,0,14,13,8,0,0,0,41,4,0,22,14,0,11,10,37,0,10,0,0,Player2
4,8,3,4,0,0,30,3,27,0,5,17,2,0,0,0,38,3,0,29,5,0,11,11,25,0,11,0,0,Player2
7,6,0,1,0,0,12,2,2,0,5,2,2,0,0,0,21,4,0,16,5,0,7,1,17,0,1,0,0,Player2
1,5,6,2,0,0,18,1,12,0,2,6,3,0,0,0,7,2,0,20,2,0,6,11,14,0,11,0,0,Player1
11,1,1,1,0,0,19,3,15,0,6,12,6,0,0,0,39,3,0,12,6,0,1,4,13,0,4,0,0,Player2
0,0,6,6,0,0,15,4,1,0,2,0,1,0,0,0,4,2,0,18,2,0,0,7,13,0,7,0,0,Player1
1,2,4,1,0,0,45,5,12,0,18,5,7,0,0,0,15,6,0,8,18,0,4,8,43,0,8,0,0,Player2
5,8,4,9,0,0,33,4,3,0,8,1,5,0,0,0,29,2,0,30,8,0,9,11,26,0,11,0,0,Player1
6,12,0,0,0,0,9,2,11,0,10,8,2,0,0,0,22,5,0,15,10,0,15,4,19,0,4,0,0,Player2
5,8,6,7,0,0,52,4,12,0,10,6,11,0,0,0,39,5,0,38,10,0,13,15,51,0,15,0,0,Player1
8,3,4,5,0,0,51,3,8,0,14,8,6,0,0,0,38,7,0,20,14,0,4,10,36,0,10,0,0,Player2
5,18,8,9,0,0,21,2,4,0,9,4,7,0,0,0,27,4,0,45,9,0,21,18,28,0,18,0,0,Player1
4,18,7,4,0,0,37,6,8,0,8,5,3,0,0,0,25,3,0,31,8,0,32,15,37,0,15,0,0,Player1
3,11,6,0,0,0,37,2,6,0,11,5,2,0,0,0,19,3,0,27,11,0,16,13,30,0,13,0,0,Player1
0,9,4,1,0,0,32,0,18,0,10,11,4,0,0,0,12,6,0,19,10,0,15,13,39,0,13,0,0,Player2
4,11,3,1,0,0,25,6,1,0,11,1,4,0,0,0,16,5,0,15,11,0,15,4,32,0,4,0,0,Player2
2,11,1,4,0,0,14,2,4,0,8,3,1,0,0,0,14,4,0,28,8,0,23,8,41,0,8,0,0,Player2
8,12,4,2,0,0,35,16,8,0,21,5,4,0,0,0,32,6,0,36,21,0,16,11,62,0,11,0,0,Player2
5,11,1,1,0,0,10,3,10,0,9,8,0,0,0,0,23,5,0,20,9,0,16,3,37,0,3,0,0,Player2
2,3,2,2,0,0,23,3,9,0,9,5,2,0,0,0,22,3,0,21,9,0,7,3,31,0,3,0,0,Player2
4,5,1,4,0,0,16,3,3,0,6,3,1,0,0,0,17,3,0,21,6,0,8,4,28,0,4,0,0,Player2
2,3,4,0,0,0,52,4,31,0,11,22,1,0,0,0,54,5,0,21,11,0,4,9,19,0,9,0,0,Player2
3,16,2,2,0,0,25,3,4,0,9,3,5,0,0,0,29,4,0,26,9,0,21,4,33,0,4,0,0,Player2
0,2,7,1,0,0,38,2,16,0,5,11,3,0,0,0,17,3,0,14,5,0,2,16,17,0,16,0,0,Player1
5,3,3,6,0,0,31,6,4,0,8,3,7,0,0,0,14,5,0,19,8,0,8,9,36,0,9,0,0,Player2
1,14,3,3,0,0,22,6,8,0,13,7,2,0,0,0,25,5,0,33,13,0,20,7,43,0,7,0,0,Player2
3,0,1,0,0,0,19,2,8,0,10,6,4,0,0,0,22,6,0,7,10,0,2,4,14,0,4,0,0,Player2
4,9,4,17,0,0,35,5,12,0,11,8,2,0,0,0,29,3,0,41,11,0,12,18,35,0,18,0,0,Player1
5,5,7,3,0,0,29,1,19,0,9,13,3,0,0,0,32,5,0,44,9,0,5,15,29,0,15,0,0,Player1
0,17,4,6,0,0,16,2,2,0,2,0,4,0,0,0,3,1,0,38,2,0,21,12,33,0,12,0,0,Player1
4,20,5,6,0,0,19,1,11,0,7,2,2,0,0,0,23,3,0,43,7,0,33,15,36,0,15,0,0,Player1
1,4,2,1,0,0,14,2,1,0,9,1,2,0,0,0,15,6,0,17,9,0,11,6,21,0,6,0,0,Player2
5,10,2,0,0,0,13,2,4,0,13,4,4,0,0,0,23,5,0,19,13,0,15,2,24,0,2,0,0,Player2
6,7,7,3,0,0,44,4,8,0,14,6,3,0,0,0,23,4,0,33,14,0,10,12,42,0,12,0,0,Player1
2,3,1,5,0,0,15,3,3,0,12,3,4,0,0,0,27,5,0,20,12,0,6,5,29,0,5,0,0,Player2
1,2,4,15,0,0,18,3,5,0,2,4,3,0,0,0,13,0,0,31,2,0,2,7,18,0,7,0,0,Player1
3,8,7,6,0,0,38,2,6,0,10,3,1,0,0,0,10,5,0,34,10,0,12,9,45,0,9,0,0,Player1
3,3,5,0,0,0,31,0,1,0,9,1,4,0,0,0,15,1,0,10,9,0,7,6,20,0,6,0,0,Player1
2,4,0,0,0,0,18,2,7,0,8,6,4,0,0,0,19,4,0,13,8,0,6,2,30,0,2,0,0,Player2
12,3,3,13,0,0,39,1,11,0,3,6,3,0,0,0,27,1,0,19,3,0,5,13,16,0,13,0,0,Player1
3,6,1,0,0,0,26,0,3,0,9,3,7,0,0,0,23,4,0,11,9,0,8,6,29,0,6,0,0,Player2
5,7,3,18,0,0,15,4,2,0,4,1,4,0,0,0,21,1,0,38,4,0,9,7,25,0,7,0,0,Player1
13,13,5,8,79,97,58,1,66,55,0,43,3,50,112,31,54,1,36,50,1,55,22,10,27,76,15,26,1,Player1
4,7,1,0,28,48,24,0,33,42,7,19,3,28,70,20,27,5,35,22,12,34,10,9,35,49,10,20,1,Player2
7,6,5,12,38,53,35,5,24,39,4,15,4,41,59,21,32,1,43,36,5,39,13,8,24,43,13,32,1,Player1
4,19,4,10,39,51,20,0,15,21,3,8,1,33,59,16,23,1,33,40,4,39,24,5,34,40,9,23,1,Player1
7,15,3,0,41,75,64,2,27,41,6,22,9,45,86,24,60,6,49,20,12,39,24,8,42,65,11,31,1,Player2
3,14,7,12,50,64,47,2,17,56,0,12,4,58,81,28,25,2,47,47,2,45,19,18,36,52,25,26,1,Player1
4,13,5,4,36,43,20,4,10,21,1,6,6,25,42,16,21,1,28,19,2,45,17,2,22,28,7,19,1,Player1
4,16,2,1,41,79,32,6,24,34,7,14,3,45,47,29,36,8,16,24,15,23,28,2,47,35,4,7,1,Player2
1,15,5,8,47,60,35,1,29,36,9,14,3,45,65,19,32,1,41,36,10,50,23,10,26,43,15,23,1,Player1
11,7,2,14,41,63,45,4,40,55,10,31,5,39,72,26,56,6,58,30,16,31,11,3,24,58,5,33,1,Player2
0,15,7,12,39,45,26,2,17,21,3,13,3,30,47,16,17,2,30,39,5,29,27,4,25,23,11,14,1,Player1
3,31,5,6,50,64,34,4,31,44,3,21,3,34,97,17,34,5,58,45,8,50,53,6,53,65,11,27,1,Player1
3,10,7,14,35,42,18,3,14,27,0,5,7,34,57,12,7,1,23,48,1,32,14,12,34,36,19,13,1,Player1
20,21,1,1,35,58,23,0,20,28,5,11,1,32,53,15,45,5,30,26,10,26,29,6,26,46,7,15,1,Player2
5,17,9,18,67,87,58,6,102,57,7,63,10,60,105,36,75,6,61,69,13,47,30,10,23,65,19,33,1,Player2
9,19,5,22,64,80,36,3,31,51,5,19,6,37,111,21,45,2,40,64,7,48,30,12,33,74,17,25,1,Player1
13,16,4,8,64,89,47,2,34,71,3,21,10,59,102,28,58,5,48,50,8,56,26,10,28,77,14,23,1,Player2
6,9,1,2,34,55,15,3,12,34,6,5,2,34,48,23,28,5,27,29,11,29,13,7,34,35,8,13,1,Player2
3,15,5,4,37,42,27,0,14,15,0,8,2,24,46,13,18,0,19,29,0,28,19,5,16,27,10,15,1,Player1
0,17,8,7,44,63,44,3,29,28,4,18,6,36,61,20,27,2,35,30,6,43,23,6,32,31,14,21,1,Player1
0,6,8,1,46,71,53,5,25,27,12,18,6,37,72,15,31,3,30,33,15,37,11,21,40,39,29,16,1,Player1
13,12,4,0,42,68,34,2,25,50,10,17,1,48,76,23,49,8,52,31,18,48,27,6,35,57,10,26,1,Player2
6,27,1,11,56,75,27,6,26,43,7,17,3,45,71,30,48,5,36,38,12,43,50,3,37,57,4,20,1,Player2
11,5,1,2,28,47,20,1,9,21,4,4,2,25,40,18,23,6,24,10,10,24,6,1,41,33,2,10,1,Player2
5,22,2,3,37,60,25,5,20,37,7,11,1,43,52,29,24,6,47,37,13,26,32,2,59,42,4,26,1,Player2
0,15,5,6,55,76,31,4,13,39,7,8,2,25,81,9,21,2,40,34,9,62,19,5,41,54,10,27,1,Player1
6,7,2,3,32,51,21,1,6,41,4,6,0,24,39,14,26,7,40,9,11,31,14,2,27,33,4,13,1,Player2
8,14,0,3,28,46,21,1,30,28,3,15,1,33,48,22,33,5,25,26,8,18,24,2,28,35,2,12,1,Player2
5,33,7,2,60,93,41,6,28,68,8,19,1,43,138,21,50,11,73,58,19,67,62,12,70,84,19,29,1,Player2
12,16,0,7,41,63,31,3,20,34,7,12,0,33,56,20,40,2,33,31,9,22,22,0,30,48,0,22,1,Player2
12,11,5,16,72,93,42,3,22,59,13,18,6,65,82,31,62,7,59,40,20,72,27,7,33,63,12,23,1,Player2
1,13,7,1,35,45,43,7,17,23,6,11,3,31,45,14,20,2,31,31,8,18,13,3,27,26,10,18,1,Player1
4,18,2,10,47,70,39,4,15,31,5,9,6,49,54,38,44,6,44,37,11,26,26,6,50,37,8,21,1,Player2
1,13,3,9,44,62,34,1,15,27,6,10,3,45,61,24,23,5,49,33,11,37,24,3,67,44,6,19,1,Player2
10,14,1,1,24,38,29,3,9,26,3,5,2,40,47,24,29,5,37,19,8,25,18,2,39,37,3,21,1,Player2
2,11,2,1,36,57,45,5,15,44,5,10,4,36,60,23,32,6,33,16,11,25,21,7,33,41,9,14,1,Player2
3,12,5,6,49,64,38,2,39,26,5,22,2,27,49,11,20,0,32,35,5,29,17,3,28,32,8,18,1,Player1
8,5,1,4,46,69,12,5,8,37,9,7,1,28,67,15,37,4,37,34,13,47,12,1,40,54,2,20,1,Player2
22,12,3,11,70,85,42,4,64,47,5,39,4,44,99,20,60,0,39,56,5,49,20,13,21,79,16,29,1,Player1
9,12,2,6,32,51,20,9,9,26,4,4,6,22,50,15,20,7,33,25,11,25,14,4,55,37,6,12,1,Player2
2,22,5,5,47,65,25,7,23,45,9,11,6,46,93,30,25,7,59,58,16,44,43,8,79,59,13,24,1,Player2
0,7,0,5,32,52,19,3,19,28,10,14,2,10,47,10,25,6,25,19,16,14,13,1,34,39,1,10,1,Player2
1,10,7,6,57,86,37,4,32,44,11,20,2,36,72,13,37,5,36,37,16,55,18,4,26,43,11,18,1,Player1
2,12,10,5,48,76,47,3,42,60,12,26,5,28,110,16,41,7,61,43,19,55,22,6,37,62,16,32,1,Player1
11,16,0,7,30,46,26,2,23,38,1,19,0,44,50,25,35,2,41,34,3,25,24,1,25,45,1,31,1,Player2
7,14,3,4,53,77,44,2,26,45,6,17,1,33,104,24,39,5,42,32,11,46,18,8,53,65,11,20,1,Player2
3,19,5,2,34,42,45,2,24,27,1,17,1,42,70,21,28,0,37,30,1,36,25,12,28,41,17,26,1,Player1
3,24,4,3,38,60,25,5,16,37,4,10,5,44,79,25,24,7,39,42,11,42,44,9,62,53,13,21,1,Player2
1,5,1,6,45,68,37,1,36,51,3,28,4,41,44,34,41,3,47,19,6,37,9,0,20,35,1,28,1,Player2
7,2,1,8,38,57,24,2,10,40,3,6,7,27,48,20,27,4,30,17,7,36,4,0,27,40,1,17,1,Player2
2,3,6,10,50,72,58,7,26,28,9,18,1,34,68,18,34,4,30,31,13,26,6,8,35,38,14,18,1,Player1
9,25,5,4,59,89,40,2,47,49,4,33,4,47,98,25,52,5,46,45,9,54,38,13,46,68,18,24,1,Player2
4,13,5,6,36,47,30,2,19,32,6,10,7,35,37,17,10,0,33,30,6,33,16,3,26,27,8,22,1,Player1
12,16,3,1,30,56,29,6,12,32,10,8,4,30,57,15,28,7,41,23,17,33,23,2,49,43,5,22,1,Player2
6,13,6,4,57,81,52,3,31,46,8,18,3,59,80,26,39,3,45,40,11,53,19,8,41,52,14,24,1,Player1
8,25,6,14,89,124,57,6,29,58,8,19,7,61,116,34,40,5,84,69,13,74,39,13,100,81,19,42,1,Player1
9,8,3,1,50,83,34,7,40,46,7,26,2,43,68,27,41,5,40,26,12,51,27,2,45,49,5,24,1,Player2
7,19,4,4,37,51,35,2,29,31,4,19,2,36,55,17,31,1,38,34,5,31,25,6,22,41,10,28,1,Player1
2,16,2,7,42,60,38,11,19,41,15,12,3,46,53,31,29,5,60,30,20,38,28,6,57,37,8,30,1,Player2
4,4,4,10,39,51,42,3,14,20,3,11,1,26,53,12,25,0,34,27,3,26,9,5,28,35,9,23,1,Player1
12,6,1,2,38,56,33,1,24,44,4,19,4,40,61,24,41,3,40,13,7,46,12,3,25,52,4,25,1,Player2
4,9,8,6,30,36,26,1,7,15,1,3,3,29,31,12,14,1,21,24,2,29,14,4,13,15,12,13,1,Player1
7,11,1,0,20,39,15,3,30,39,6,20,0,19,44,12,33,7,31,15,13,19,29,0,15,36,1,14,1,Player2
2,6,0,0,15,27,15,5,15,21,9,12,1,12,40,8,29,7,34,8,16,15,7,0,31,35,0,13,1,Player2
4,12,1,5,32,54,37,1,26,32,9,20,3,34,55,20,44,4,52,32,13,20,24,3,34,45,4,30,1,Player2
3,28,5,4,47,62,34,2,53,41,3,34,2,39,86,21,41,2,42,48,5,46,39,10,23,53,15,28,1,Player1
10,3,0,3,23,37,18,4,3,27,0,1,2,25,40,19,25,5,30,10,5,22,9,2,36,35,2,14,1,Player2
5,10,7,3,38,50,24,5,11,26,4,8,4,28,48,10,17,3,29,34,7,34,14,5,29,30,12,14,1,Player1
2,8,0,3,29,46,13,0,10,35,5,8,0,14,40,11,27,3,28,18,8,21,14,0,14,35,0,15,1,Player2
0,10,9,1,30,47,29,0,8,10,3,4,1,22,33,5,10,2,18,28,5,27,10,1,17,11,10,14,1,Player1
3,11,4,11,55,63,39,2,19,30,0,8,4,22,69,17,36,2,30,29,2,38,14,3,18,41,7,14,1,Player1
2,11,1,3,26,40,26,2,13,21,4,9,1,37,48,21,21,5,31,17,9,28,20,5,46,36,6,16,1,Player2
6,4,2,6,31,57,19,1,11,37,4,8,0,31,50,17,27,7,23,18,11,32,14,1,29,36,3,10,1,Player2
1,19,6,7,41,53,19,0,36,26,1,24,5,29,57,15,19,1,26,34,2,43,34,14,29,32,20,11,1,Player1
12,21,3,12,55,82,23,3,75,41,13,36,2,40,65,24,37,5,63,68,18,30,40,4,56,50,7,33,1,Player2
5,25,4,8,71,104,51,7,16,31,11,6,1,51,79,31,32,7,51,55,18,35,53,3,89,53,7,23,1,Player2
11,7,7,5,55,88,74,1,38,36,9,27,2,54,78,28,76,5,31,20,14,38,15,10,10,48,17,19,1,Player1
2,17,6,2,36,45,37,0,38,20,2,26,3,29,40,10,22,0,22,22,2,29,26,1,9,25,7,15,1,Player1
7,23,2,1,38,58,26,1,14,40,4,9,2,36,68,20,25,5,30,30,9,31,32,7,43,49,9,12,1,Player2
10,34,6,7,79,113,53,2,57,63,8,39,0,43,106,22,54,4,62,44,12,69,47,5,43,77,11,37,1,Player1
10,11,0,1,28,36,20,1,28,37,1,24,2,23,51,14,37,5,34,16,6,24,17,1,13,43,1,13,1,Player2
3,16,8,11,46,61,46,7,31,28,2,17,5,35,69,20,24,4,34,42,6,29,22,6,42,38,14,20,1,Player1
2,15,6,5,34,51,36,3,25,21,9,13,6,28,45,13,27,2,45,30,11,39,17,1,25,25,7,30,1,Player1
3,26,6,10,50,70,41,1,27,33,2,13,3,43,66,20,35,3,36,34,5,47,31,10,29,41,16,21,1,Player1
6,8,2,5,43,66,38,3,15,31,7,12,2,37,57,25,41,5,44,22,12,31,18,3,46,44,5,21,1,Player2
9,9,6,2,40,49,48,1,26,27,2,13,2,51,56,18,24,2,22,23,4,35,11,14,24,40,20,15,1,Player1
4,2,1,6,36,53,42,4,20,43,3,14,5,40,54,25,35,5,33,18,8,27,3,6,24,41,7,18,1,Player2
4,27,9,12,65,85,48,1,66,48,6,41,3,60,111,28,42,7,64,64,13,59,39,14,63,67,23,27,1,Player1
2,21,9,7,47,89,59,1,19,62,9,11,4,57,100,24,38,10,62,65,19,28,33,11,61,65,20,33,1,Player2
11,34,8,5,74,107,59,5,28,52,15,11,5,56,86,27,57,7,70,52,22,53,49,2,56,62,10,32,1,Player2
8,11,1,5,38,59,25,1,19,38,1,14,2,26,49,18,32,5,23,19,6,24,19,1,22,40,2,11,1,Player2
7,38,6,7,79,112,62,9,37,48,14,21,7,79,90,51,37,5,80,68,19,59,58,10,103,63,16,48,1,Player1
8,8,0,6,35,53,15,2,14,34,4,10,0,21,49,14,34,4,31,16,8,31,12,3,26,44,3,15,1,Player2
5,5,6,4,44,69,41,0,20,37,4,13,3,37,54,14,32,2,21,24,6,37,6,5,13,37,11,15,1,Player1
2,28,8,9,41,61,35,4,33,33,12,17,5,37,73,16,27,5,53,59,17,35,39,8,44,40,16,29,1,Player1
4,15,3,4,54,87,42,11,26,27,11,19,3,38,47,25,41,5,35,24,16,34,25,1,53,36,4,19,1,Player2
5,18,6,2,60,87,40,3,23,41,15,16,4,33,67,13,30,3,29,34,18,47,27,7,31,44,13,14,1,Player1
7,15,4,18,70,91,41,2,24,61,9,12,2,54,112,34,40,4,48,48,13,73,19,21,46,67,25,25,1,Player1
11,10,7,4,69,106,56,3,41,50,10,30,1,45,80,18,53,5,38,39,15,48,18,8,27,55,15,21,1,Player1
0,2,5,2,29,36,28,0,15,7,2,9,3,15,28,8,15,0,9,12,2,20,4,4,9,11,9,4,1,Player1
1,2,1,0,15,31,18,4,5,15,4,4,1,7,32,4,25,6,17,5,10,10,4,3,19,23,4,5,1,Player2
2,7,2,0,25,46,25,1,3,17,4,1,0,20,28,13,24,5,13,14,9,7,10,0,21,18,2,4,1,Player2
1,7,3,1,23,52,25,4,32,21,8,27,6,24,30,12,20,6,19,17,14,16,19,4,36,20,7,7,1,Player2
2,5,3,1,18,33,24,4,2,13,4,1,2,31,24,18,12,6,28,15,10,14,9,3,44,15,6,11,1,Player2
1,8,1,2,24,41,21,2,23,26,11,16,1,10,44,6,24,5,31,17,16,18,15,7,23,29,8,12,1,Player2
1,6,7,5,31,46,35,7,5,17,5,2,6,8,49,4,16,5,23,17,10,23,6,3,31,24,10,9,1,Player1
2,5,0,2,13,23,13,1,13,11,4,11,3,12,25,10,24,5,24,12,9,6,5,4,22,20,4,8,1,Player2
2,3,2,0,17,34,24,9,6,13,1,4,5,16,28,11,27,6,22,10,7,13,6,5,27,19,7,11,1,Player2
0,1,5,2,24,29,38,2,12,22,0,6,7,26,41,16,19,3,26,12,3,23,4,10,17,21,15,12,1,Player1
0,12,6,1,20,30,31,2,9,19,2,3,2,20,44,6,11,3,23,23,5,16,15,5,21,23,11,13,1,Player1
7,2,1,2,17,34,19,5,10,15,6,6,0,17,35,9,29,4,17,17,10,9,4,0,19,26,1,11,1,Player2
0,19,5,2,19,33,19,1,11,11,5,6,2,26,28,13,6,2,20,32,7,13,26,1,29,13,6,15,1,Player1
3,9,4,5,42,70,43,2,19,33,3,14,7,30,59,18,33,2,41,23,5,40,13,2,37,39,6,25,1,Player1
0,6,2,0,17,31,25,4,7,19,4,4,2,17,35,10,9,5,17,11,9,11,11,0,31,24,2,10,1,Player2
2,4,1,2,21,35,19,2,1,13,3,0,2,16,42,10,13,4,12,19,7,11,6,0,34,28,1,6,1,Player2
0,2,4,4,26,28,28,4,6,6,0,2,3,21,35,11,10,0,11,17,0,17,5,8,24,20,12,8,1,Player1
5,7,3,2,25,40,17,6,5,29,4,3,0,26,69,12,14,5,25,39,9,23,7,7,44,45,10,16,1,Player2
1,5,6,2,18,30,46,7,14,24,1,8,4,30,48,15,21,6,48,20,7,17,14,0,39,29,6,27,1,Player2
2,9,6,1,40,68,27,7,5,45,11,4,9,35,51,13,23,5,19,28,16,39,14,8,27,37,14,9,1,Player1
4,2,0,0,13,21,18,9,3,10,6,1,1,8,22,6,23,6,24,5,12,6,8,0,23,18,0,9,1,Player2
3,5,1,0,13,30,16,1,12,22,4,9,2,12,29,6,25,6,11,6,10,8,12,0,8,23,1,3,1,Player2
0,12,7,1,50,87,52,2,23,23,5,11,1,27,74,14,18,5,19,26,10,32,20,9,59,38,16,10,1,Player1
0,1,2,1,15,36,19,1,15,17,2,11,0,25,31,10,28,6,18,9,8,15,10,10,23,23,12,5,1,Player2
3,7,5,1,31,47,24,8,8,26,5,5,2,30,81,10,31,8,38,29,13,44,11,5,52,54,10,17,1,Player2
2,4,5,4,24,33,27,1,9,10,0,3,3,18,36,9,16,2,25,15,2,24,7,3,24,20,8,14,1,Player1
2,1,1,2,14,30,27,5,5,25,6,3,3,30,26,16,28,5,26,6,11,17,2,6,17,20,7,13,1,Player2
2,5,4,6,29,59,23,3,8,33,9,5,5,14,44,9,12,7,32,28,16,18,13,2,43,27,6,13,1,Player2
